Category,Subcategory,Subcategory2,Command,Notes
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_TECHNICIAN,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_ENGI,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_FREEMANTIS,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_WARLORD,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_PHANTOM,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_GOUL,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_MARE,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_WRAITH,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_PHANTOM_ALPHA,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_GOUL_ALPHA,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_MARE_ALPHA,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_WRAITH_ALPHA,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_HATCH,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_HUMAN,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_LANIUS,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_LIZARD,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_MANTIS,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_MEDIC,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_MONK,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_INFERNUM,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_ORCHID,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_PRAETOR,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_OSMIAN,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_OUTCAST,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_PONY,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_PONYC,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_PEACE,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_QUEEN,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_RADIANT,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_RADICAL,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_DEVORAK,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_ANURAK,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_ROCK,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_ROYAL,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SABO,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_KNIGHT,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_RANGER,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SENTINEL,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SEPARATIST,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SHELL,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SHELL_GUARDIAN,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SHELL_MECH,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SHELL_MEDIC,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SSLG,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SLUG,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SIREN,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_HARPY,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_HEKTAR,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SOLDIER,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_MFK,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_ANGEL,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SPIDER,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_SUZERAIN,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_WEAVER,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_WELDER,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_AUGMENTED,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_VAMPWEED,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_CULTIVATOR,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_ZOLTAN,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_LEECH,
Weapons,Clone Cannon,,WEAPON CLONE_CANNON_AMPERE,
Weapons,Transport Loot Weapons,,WEAPON LOOT_UNION_1,Burst Laser 1
Weapons,Transport Loot Weapons,,WEAPON LOOT_UNION_2,Dirk Pinpoint
Weapons,Transport Loot Weapons,,WEAPON LOOT_MILITIA_1,Burst Laser 2
Weapons,Transport Loot Weapons,,WEAPON LOOT_FEDERATION_1,Heavy Laser 2
Weapons,Transport Loot Weapons,,WEAPON LOOT_FEDERATION_2,Halberd Beam
Weapons,Transport Loot Weapons,,WEAPON LOOT_REBEL_1,Charge Laser 2
Weapons,Transport Loot Weapons,,WEAPON LOOT_ZOLTAN_1,Pike Beam
Weapons,Transport Loot Weapons,,WEAPON LOOT_ZOLTAN_2,Lucerne Beam (unused)
Weapons,Transport Loot Weapons,,WEAPON LOOT_DUSKBRINGER_1,Heavy Energy
Weapons,Transport Loot Weapons,,WEAPON LOOT_MANTIS_1,Bomb Launcher
Weapons,Transport Loot Weapons,,WEAPON LOOT_MANTIS_2,Light Laser 2
Weapons,Transport Loot Weapons,,WEAPON LOOT_FREEMANTIS_1,Stun Bomb
Weapons,Transport Loot Weapons,,WEAPON LOOT_FREEMANTIS_2,Recycler Bomb
Weapons,Transport Loot Weapons,,WEAPON LOOT_ROCK_1,Hermes Missile
Weapons,Transport Loot Weapons,,WEAPON LOOT_LOSTSUN_1,Sekhmet Mine launcher
Weapons,Transport Loot Weapons,,WEAPON LOOT_LOSTSUN_2,Hades Missiles
Weapons,Transport Loot Weapons,,WEAPON LOOT_SLUG_1,Faucon Rad-Beam
Weapons,Transport Loot Weapons,,WEAPON LOOT_SLUG_2,Breach Bomb
Weapons,Transport Loot Weapons,,WEAPON LOOT_CLAN_1,Irradiation Laser (Anti Bio)
Weapons,Transport Loot Weapons,,WEAPON LOOT_LANIUS_1,Chain Flak Gun
Weapons,Transport Loot Weapons,,WEAPON LOOT_DYNASTY_1,Ranseur Beam
Weapons,Transport Loot Weapons,,WEAPON LOOT_DYNASTY_2,Pierce Laser MK II
Weapons,Transport Loot Weapons,,WEAPON LOOT_SHELL_1,Hull Laser 2
Weapons,Transport Loot Weapons,,WEAPON LOOT_SHELL_2,Goedendag Beam
Weapons,Transport Loot Weapons,,WEAPON LOOT_LEECH_1,Flak 2
Weapons,Transport Loot Weapons,,WEAPON LOOT_COALITION_1,Eris Missiles
Weapons,Transport Loot Weapons,,WEAPON LOOT_CULTIST_1,Flamberge Beam
Weapons,Transport Loot Weapons,,WEAPON LOOT_KNIGHT_1,Corbin Rad-Beam
Weapons,MV Renegade Loot,,WEAPON BEAM_BATTERY,Battery Beam (Zoltan C)
Weapons,MV Renegade Loot,,WEAPON BEAM_QUICK,'Kalis' Beam (MV Rebel C)
Weapons,MV Renegade Loot,,WEAPON BEAM_ADAPT_3,'Tsukiyari' Beam (Stealth B)
Weapons,MV Renegade Loot,,WEAPON BIG_ION,Big Ion (Slug C)
Weapons,MV Renegade Loot,,WEAPON BOMB_CONSERVRECYCLER,Sustaining Bomb (Mantis B)
Weapons,MV Renegade Loot,,WEAPON BOMB_DRAIN,Big Suck Bomb (Leech C)
Weapons,MV Renegade Loot,,WEAPON FROST_CHARGEGUN,Frost Charger (Lost Sun B)
Weapons,MV Renegade Loot,,WEAPON ION_CHAIN_CHARGEGUN,Ion Chainger (Monk C)
Weapons,MV Renegade Loot,,WEAPON MISSILES_OBSIDIAN,Obsidian Missiles (Rock C)
Weapons,MV Renegade Loot,,WEAPON NEVERMISS,Nevermiss Pinpoint (Guild B) (OLD)
Weapons,MV Renegade Loot,,WEAPON SNIPER,Nevermiss Laser (Guild B)
Weapons,MV Renegade Loot,,WEAPON SHOTGUN_STEEL,Steel Flak (Duskbringer B)
Weapons,MV Renegade Loot,,WEAPON SLOTGUN,Slotgun (Tuco B)
Weapons,MV Renegade Loot,,WEAPON SHOTGUN_TOGGLE_FIRE,Toggle Flak [F] (Lanius B)
Weapons,MV Renegade Loot,,WEAPON SHOTGUN_TOGGLE_ION,Toggle Flak [I]
Weapons,MV Renegade Loot,,WEAPON SHOTGUN_TOGGLE_TOXIC,Toggle Flak [T]
Weapons,MV Renegade Loot,,WEAPON SHELL_LAUNCHER,Toxic Pods (Shell C)
Weapons,MV Renegade Loot,,WEAPON UNSPOOLER,Nightshade (Free Mantis B)
Weapons,MV Renegade Loot,,WEAPON MINELAUNCHER_GIANT,'Pharaoh' Mine Launcher (Federation B)
Weapons,MV Renegade Loot,,WEAPON LASER_LIGHT_CHARGEGUN,Light Laser Charger (Kestrel B)
Weapons,MV Renegade Loot,,WEAPON CRYSTAL_BURST_FIRE,Amber Launcher (Crystal C)
Weapons,MV Renegade Loot,,WEAPON STRAWBERRY,Strawberry Launcher (Orchid C)
Weapons,MV Renegade Loot,,WEAPON BOMB_ELITE,Promotion Bomb (MFK C)
Weapons,MV Renegade Loot,,WEAPON GASTER_BLASTER,'Blaster' Beam (Sylvan C)
Weapons,MV Renegade Loot,,WEAPON BEAM_HACK,'Gungnir' Beam (Angel B)
Weapons,MV Renegade Loot,,WEAPON MODULAR_CHARGE_BASE,Modular Charge Missiles (Hektar C)
Weapons,MV Renegade Loot,,WEAPON DEFENSE_TRINITY_MISSILE,Trinity Drone (Engi C)
Weapons,MV Renegade Loot,,WEAPON DEFENSE_TRINITY_DRONE,
Weapons,MV Renegade Loot,,WEAPON DEFENSE_TRINITY_PROJECTILES,
Weapons,MV Renegade Loot,,WEAPON YINYANG_BATTLE,YinYang Drone (Separatist B)
Weapons,MV Renegade Loot,,WEAPON YINYANG_BOARDER,
Weapons,MV Renegade Loot,,WEAPON SURGEON_BATTLE,Surgeon Drone (Engineer B)
Weapons,MV Renegade Loot,,WEAPON SURGEON_BOARDER,
Weapons,MV Renegade Loot,,WEAPON FOREMAN_BATTLE,Foreman Drone (Vampweed B)
Weapons,MV Renegade Loot,,WEAPON FOREMAN_BOARDER,
Weapons,MV Renegade Loot,,WEAPON SALT_MINER,Mining Drone (Salt C)
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_DEFENSE,Symbiont Drone (Morph B)
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_DEFENSE_MISSILE,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_DEFENSE_DRONE,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_LASER,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_BEAM,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_FIRE,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_HULL,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_ION,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_ENERGY,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_FOCUS,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_FLAK,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_OMNI,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_ANCIENT_LASER,
Weapons,MV RenegL,WEAPON SYMBIONT_ANCIENT_DEFENSE,,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_ANCIENT_ION,
Weapons,MV Renegade Loot,,WEAPON SYMBIONT_ANCIENT_MISSILE,
Weapons,MV Renegade Loot,,WEAPON ANTICOAL_AUG,Alliance Energy Field (Coalition B)
Weapons,MV Renegade Loot,,WEAPON spider_venom,Venomous Queen (Spider C)
Weapons,MV Renegade Loot,,WEAPON pony_engi,Cyberpony (Equinoid C)
Weapons,Math Loot,,WEAPON LOOT_MATH_1,'Adder' (Adaptive Laser)
Weapons,Math Loot,,WEAPON LOOT_MATH_2,'Subtracter' (Bio Bomb)
Weapons,Math Loot,,WEAPON LOOT_MATH_3,'Multiplier' (Charge Flak)
Weapons,Math Loot,,WEAPON LOOT_MATH_4,'Divider' (Guisarme Beam)
Weapons,Math Loot,,WEAPON LOOT_MATH_5,'Equalizer' (Pre-Ion)
Weapons,Math Loot,,WEAPON LOOT_MATH_6,'Percentage' (Osiris Mine Launcher)
Weapons,Math Loot,,WEAPON LOOT_MATH_7,'Greater Than' (Nyx Missile)
Weapons,Hektar,Modules,WEAPON MODULE_BIO,
Weapons,Hektar,Modules,WEAPON MODULE_LOCKDOWN,
Weapons,Hektar,Modules,WEAPON MODULE_PIERCE,
Weapons,Hektar,Modules,WEAPON MODULE_STUN,
Weapons,Hektar,Modules,WEAPON MODULE_FIRE,
Weapons,Hektar,Modules,WEAPON MODULE_HULL,
Weapons,Hektar,Modules,WEAPON MODULE_ACCURACY,
Weapons,Hektar,Modules,WEAPON MODULE_POWER,
Weapons,Hektar,Modules,WEAPON MODULE_COOLDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_BASE,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_BASE_BIO,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_BASE_COOLDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_BASE_LOCKDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_BASE_PIERCE,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_BASE_STUN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_FIRE,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_FIRE_BIO,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_FIRE_COOLDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_FIRE_LOCKDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_FIRE_PIERCE,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_FIRE_STUN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_HULL,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_HULL_BIO,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_HULL_COOLDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_HULL_LOCKDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_HULL_PIERCE,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_HULL_STUN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_ACCURACY,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_ACCURACY_BIO,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_ACCURACY_COOLDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_ACCURACY_LOCKDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_ACCURACY_PIERCE,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_ACCURACY_STUN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_POWER,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_POWER_BIO,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_POWER_COOLDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_POWER_LOCKDOWN,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_POWER_PIERCE,
Weapons,Hektar,Modular Laser,WEAPON MODULAR_LASER_POWER_STUN,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_BASE,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_BASE_BIO,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_BASE_COOLDOWN,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_BASE_PIERCE,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_BASE_STUN,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_FIRE,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_FIRE_BIO,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_FIRE_COOLDOWN,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_FIRE_PIERCE,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_FIRE_STUN,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_HULL,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_HULL_BIO,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_HULL_COOLDOWN,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_HULL_PIERCE,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_HULL_STUN,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_POWER,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_POWER_BIO,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_POWER_COOLDOWN,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_POWER_PIERCE,
Weapons,Hektar,Modular Beam,WEAPON MODULAR_BEAM_POWER_STUN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_BASE,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_BASE_BIO,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_BASE_COOLDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_BASE_LOCKDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_BASE_STUN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_FIRE,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_FIRE_BIO,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_FIRE_COOLDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_FIRE_LOCKDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_FIRE_STUN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_HULL,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_HULL_BIO,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_HULL_COOLDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_HULL_LOCKDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_HULL_STUN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_ACCURACY,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_ACCURACY_BIO,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_ACCURACY_COOLDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_ACCURACY_LOCKDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_ACCURACY_STUN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_POWER,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_POWER_BIO,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_POWER_COOLDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_POWER_LOCKDOWN,
Weapons,Hektar,Modular Missile,WEAPON MODULAR_MISSILE_POWER_STUN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_ACCURACY,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_ACCURACY_BIO,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_ACCURACY_COOLDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_ACCURACY_LOCKDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_ACCURACY_PIERCE,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_ACCURACY_STUN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_BASE,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_BASE_BIO,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_BASE_COOLDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_BASE_LOCKDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_BASE_PIERCE,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_BASE_STUN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_FIRE,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_FIRE_BIO,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_FIRE_COOLDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_FIRE_LOCKDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_FIRE_PIERCE,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_FIRE_STUN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_HULL,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_HULL_BIO,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_HULL_COOLDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_HULL_LOCKDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_HULL_PIERCE,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_HULL_STUN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_POWER,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_POWER_BIO,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_POWER_COOLDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_POWER_LOCKDOWN,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_POWER_PIERCE,
Weapons,Hektar,Modular Ion,WEAPON MODULAR_ION_POWER_STUN,
Weapons,Drone weapons,,WEAPON DRONE_LASER_DEFENSE,
Weapons,Drone weapons,,WEAPON DRONE_MISSILE_DEFENSE,
Weapons,Drone weapons,,WEAPON DRONE_ION_DEFENSE,
Weapons,Drone weapons,,WEAPON DRONE_LASER_COMBAT,
Weapons,Drone weapons,,WEAPON DRONE_BEAM_COMBAT,
Weapons,Drone weapons,,WEAPON DRONE_FIREBEAM_COMBAT,
Weapons,Drone weapons,,WEAPON DRONE_HULLBEAM_COMBAT,
Weapons,Drone weapons,,WEAPON DRONE_DEBUFF_COMBAT,
Weapons,Drone weapons,,WEAPON DRONE_BREACH_COMBAT,
Weapons,Drone weapons,,WEAPON DRONE_ION_AMP_1,
Weapons,Drone weapons,,WEAPON DRONE_ION_AMP_2,
Weapons,Drone weapons,,WEAPON DRONE_ION_AMP_3,
Weapons,Drone weapons,,WEAPON DRONE_ENERGY_AMP_1,
Weapons,Drone weapons,,WEAPON DRONE_ENERGY_AMP_2,
Weapons,Drone weapons,,WEAPON DRONE_ENERGY_AMP_3,
Weapons,Drone weapons,,WEAPON DRONE_FOCUS_AMP_1,
Weapons,Drone weapons,,WEAPON DRONE_FOCUS_AMP_2,
Weapons,Drone weapons,,WEAPON DRONE_FOCUS_AMP_3,
Weapons,Drone weapons,,WEAPON DRONE_BEAM_ENGINEER,
Weapons,Drone weapons,,WEAPON DRONE_BIO_BEAM,
Weapons,Drone weapons,,WEAPON ANCIENT_DRONE_LASER,
Weapons,Drone weapons,,WEAPON ANCIENT_DRONE_DEFENSE,
Weapons,Drone weapons,,WEAPON ROYAL_DRONE_DEFENSE,
Weapons,Drone weapons,,WEAPON ANCIENT_DRONE_ION,
Weapons,Drone weapons,,WEAPON ANCIENT_DRONE_MISSILES,
Weapons,Drone weapons,,WEAPON ROYAL_DRONE_LASER,
Weapons,Drone weapons,,WEAPON ROYAL_DRONE_ION,
Weapons,Drone weapons,,WEAPON ANCIENT_ROYAL_MISSILES,
Weapons,Drone weapons,,WEAPON DRONE_BEAM_AUTO_LOOT_2,
Weapons,Drone weapons,,WEAPON DRONE_BEAM_LANIUS_LOOT,
Weapons,Drone weapons,,WEAPON DRONE_HEAVY_LANIUS_LOOT,
Weapons,Drone weapons,,WEAPON DRONE_LASER_ENGI_DEFENSE_LOOT,
Weapons,Drone weapons,,WEAPON DRONE_ASTEROID_DRUG,
Weapons,Drone weapons,,WEAPON DRONE_PARTICLE_COMBAT,
Weapons,Drone weapons,,WEAPON DRONE_PIERCE_COMBAT,
Weapons,Drone weapons,,WEAPON DRONE_OMNI_LASER,
Weapons,Hidden Weapons,,WEAPON ASTEROID_ENEMY,Asteroids
Weapons,Hidden Weapons,,WEAPON CRYSTAL_1,Crystal Vengeance shard (from the augmentation)
Weapons,Hidden Weapons,,WEAPON PDS_SHOT,ASB
Crew,Secret Crew,,CREW spider_venom,
Crew,Secret Crew,,CREW spider_venom_chaos,Does not use a crew slot
Crew,Secret Crew,,CREW tinybug,Beam Master event enemy
Crew,Secret Crew,,CREW gbgozer,"Non-functional ID, but exists in some files and has associated enemy ship"
Crew,Secret Crew,,CREW gbeleanor,Periodically damage nearby crew
Crew,Secret Crew,,CREW gbpsych,Periodically becomes automated
Crew,Secret Crew,,CREW gbscoleri,"Periodically ions for 3, otherwise power 3"
Crew,Secret Crew,,CREW gbslimer,"Periodically steals life from nearby crew, regen hp out of combat"
Crew,Secret Crew,,CREW gbvinz,"Periodically starts a fire, cannot extinguish fires, but heals in fire"
Crew,Secret Crew,,CREW gbzuul,"Periodically starts a breach and damages system, always drains oxygen"
Crew,Secret Crew,,CREW nexus_sylvan_cel,
Crew,Secret Crew,,CREW nexus_obyn_cel,
Crew,Secret Crew,,CREW nexus_sylvan_gman,
Crew,Secret Crew,,CREW beans,
Crew,Secret Crew,,CREW dylan,
Crew,Secret Crew,,CREW sylvan1d,
Crew,Secret Crew,,CREW sylvanclan,
Crew,Secret Crew,,CREW sylvanrebel,
Crew,Secret Crew,,CREW sylvansans,
Crew,Secret Crew,,CREW sylvanleah,
Crew,Secret Crew,,CREW sylvanrick,
Crew,Secret Crew,,CREW prime,
Crew,Secret Crew,,CREW saltpapy,
Crew,Secret Crew,,CREW bucket,
Crew,Secret Crew,,CREW ponyc,
Crew,Secret Crew,,CREW pony_engi,
Crew,Secret Crew,,CREW pony_engi_nano,
Crew,Secret Crew,,CREW pony_engi_chaos,Does not use a crew slot
Crew,Secret Crew,,CREW pony_engi_nano_chaos,Does not use a crew slot
Crew,Secret Crew,,CREW siren,
Crew,Secret Crew,,CREW siren_harpy,
Crew,Secret Crew,,CREW gnome,Might not trigger Chaos Mode
Crew,Secret Crew,,CREW eldritch_cat,
Crew,Secret Crew,,CREW eldritch_thing,
Crew,Secret Crew,,CREW eldritch_thing_weak,
Crew,Secret Crew,,CREW cognitive_advanced,
Crew,Secret Crew,,CREW cognitive_advanced_automated,
Crew,Secret Crew,,CREW obelisk_royal,
Crew,Secret Crew,,CREW cognitive,
Crew,Secret Crew,,CREW cognitive_automated,
Crew,Secret Crew,,CREW obelisk,
Crew,Secret Crew,,CREW unique_judge_thest,
Crew,Secret Crew,,CREW unique_judge_corby,
Crew,Secret Crew,,CREW unique_judge_wakeson,
Crew,Secret Crew,,CREW unique_leah,
Crew,Secret Crew,,CREW unique_leah_mfk,
Crew,Secret Crew,,CREW unique_cyra,
Crew,Secret Crew,,CREW unique_vance,
Crew,Secret Crew,,CREW human_humanoid,
Crew,Secret Crew,,CREW unique_ooj_love,
Crew,Easter,,CREW easter_brick,
Crew,Easter,,CREW easter_coomer,
Crew,Easter,,CREW easter_tommy,
Crew,Easter,,CREW easter_bubby,
Crew,Easter,,CREW easter_sunkist,
